"","title","book_type","rank","rank_last_week","weeks_on_list","author","publisher","description","date_published","book_image","book_image_width","book_image_height"
"81","GREENLIGHTS","Hardcover Nonfiction",6,4,20,"Matthew McConaughey","Crown","The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780593139134.jpg",392,500
"82","A PROMISED LAND","Hardcover Nonfiction",7,7,16,"Barack Obama","Crown","In the first volume of his presidential memoirs, Barack Obama offers personal reflections on his formative years and pivotal moments through his first term.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781524763169.jpg",329,500
"83","WALK IN MY COMBAT BOOTS","Hardcover Nonfiction",8,5,4,"James Patterson and Matt Eversmann with Chris Mooney","Little, Brown","A collection of interviews with troops who fought overseas.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780316429092.jpg",322,500
"84","THE SUM OF US","Hardcover Nonfiction",9,8,3,"Heather McGhee","One World","The chair of the board of the racial justice organization Color of Change analyzes the impact of racism on the economy.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780525509561.jpg",329,500
"85","HUNT, GATHER, PARENT","Hardcover Nonfiction",10,0,1,"Michaeleen Doucleff","Avid Reader/Simon & Schuster","A look at different approaches to rearing children from various parts of the planet.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781982149673.jpg",329,500
"86","FOUR HUNDRED SOULS","Hardcover Nonfiction",11,10,5,"edited  Ibram X. Kendi and Keisha N. Blain","One World","A compendium featuring 90 writers covering 400 years of African-American history.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780593134047.jpg",331,500
"87","BREATH","Hardcover Nonfiction",12,0,16,"James Nestor","Riverhead","A re-examination of a basic biological function and a look at the science behind ancient breathing practices.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780735213616.jpg",331,500
"88","WORLD OF WONDERS","Hardcover Nonfiction",13,0,8,"Aimee Nezhukumatathil","Milkweed","In a collection of essays, the poet celebrates various aspects of the natural world and its inhabitants.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781571311931.jpg",324,500
"89","HOW TO BE AN ANTIRACIST","Hardcover Nonfiction",14,11,44,"Ibram X. Kendi","One World","A primer for creating a more just and equitable society through identifying and opposing racism.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780525509288.jpg",328,495
"90","UNCOMFORTABLE CONVERSATIONS WITH A BLACK MAN","Hardcover Nonfiction",15,0,9,"Emmanuel Acho","Flatiron","A look at some questions and concepts needed to address systemic racism.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781250800466.jpg",324,500
